side,rank,year,cb_code,cb_name,stk_code,rating,remain_size,entry_date,exit_date,entry_month,exit_month,holding_days,entry_price,exit_price,entry_premium,exit_premium,premium_change_pp,entry_underlying_close,exit_underlying_close,underlying_return_pct,trade_pnl_pct,benchmark_pnl_pct,excess_pp,pnl_amount,exit_reason,entry_gap_pct,entry_gap_amount
worst,1,2020,128108.SZ,蓝帆转债,002382,AA-,,20200630,20200908,202006,202009,70,157.4,135.92,-0.584413816,-0.5728996047,1.151421,30.11,25.3,-15.974759,-0.136468,0.0715710582,-20.803906,-10784.0,stop_loss_value_gone,1.390162,111212.94
worst,2,2020,128074.SZ,游族转债,002174,AA-,,20200102,20200515,202001,202005,134,145.8,124.3,-0.4112035186,-0.360127421,5.10761,25.01,19.62,-21.551379,-0.147462,0.0502371561,-19.769916,-11826.4,stop_loss_value_gone,0.830156,66412.45
worst,3,2020,123011.SZ,德尔转债,300473,AA-,,20200102,20200306,202001,202003,64,126.079,112.23,-0.5436210349,-0.374003372,16.961766,43.87,28.47,-35.103716,-0.109844,0.0826770477,-19.252105,-8825.59,stop_loss_switch_value_gap,1.176466,94117.24
worst,4,2020,113584.SH,家悦转债,603708,AA,,20200630,20200908,202006,202009,70,139.58,124.69,-0.6373073488,-0.5639256831,7.338167,49.26,36.6,-25.700365,-0.106677,0.0715710582,-17.824806,-8442.67,stop_loss_value_gone,1.583368,126669.43
worst,5,2020,110062.SH,烽火转债,600498,AAA,,20200525,20201027,202005,202010,155,119.9,118.98,-0.0656068966,0.120395,18.60019,29.0,24.0,-17.241379,-0.007673,0.152931835,-16.060484,-235.02,switch_value_gap,0.475588,14267.64
worst,6,2020,127015.SZ,希望转债,000876,AAA,,20200902,20200908,202009,202009,6,211.6,174.0,-0.4563839069,-0.4588028169,-0.241891,41.26,34.08,-17.401842,-0.177694,-0.0278056943,-14.988831,-3054.97,stop_loss_value_gone,0.880356,70428.5
worst,7,2020,110047.SH,山鹰转债,600567,AA,,20200102,20200519,202001,202005,138,123.67,110.08,-0.4988110526,-0.4349226667,6.388839,3.8,3.0,-21.052632,-0.109889,0.0387505794,-14.863958,-8824.44,stop_loss_value_gone,0.913886,73110.89
worst,8,2020,127015.SZ,希望转债,000876,AAA,,20200925,20201120,202009,202011,56,147.75,131.85,-0.4512438683,-0.4643119969,-1.306813,28.54,26.09,-8.584443,-0.107614,0.0316787932,-13.929279,-303.69,stop_loss_switch_value_gap,0.967343,29020.29
worst,9,2020,113505.SH,杭电转债,603618,AA,,20200525,20201029,202005,202010,157,103.09,104.09,0.0538088889,0.0939511424,4.014225,5.85,5.69,-2.735043,0.0097,0.1459202356,-13.622024,258.85,switch_value_gap,0.375118,11253.55
worst,10,2020,128083.SZ,新北转债,002376,AA,,20200525,20201123,202005,202011,182,108.988,107.013,-0.4368084211,-0.3865496815,5.025874,10.45,9.42,-9.856459,-0.018121,0.103348717,-12.146972,-532.39,max_holding_days,0.652871,19586.13
best,1,2020,128095.SZ,恩捷转债,002812,AA,,20201026,20201231,202010,202012,66,147.8,220.0,-0.5098860104,-0.5034560587,0.642995,96.5,141.78,46.92228,0.488498,-0.0413982903,52.989629,39144.69,end_of_period,1.052152,84172.16
best,2,2020,110044.SH,广电转债,600831,AA,,20200102,20200427,202001,202004,116,144.28,212.46,-0.3467404517,0.3140934081,66.083386,9.74,7.13,-26.796715,0.472553,0.0865193161,38.603368,37712.43,value_repaired,0.593823,47505.82
best,3,2020,127015.SZ,希望转债,000876,AAA,,20200306,20200902,202003,202009,180,150.01,211.6,-0.446149077,-0.4563839069,-1.023483,28.71,41.26,43.712992,0.410573,0.0691637983,34.14092,29142.24,max_holding_days,0.980847,78467.77
best,4,2020,128095.SZ,恩捷转债,002812,AA,,20200427,20201026,202004,202010,182,117.73,147.8,-0.2617362336,-0.5098860104,-24.814978,51.03,96.5,89.104448,0.255415,0.0601297258,19.528527,20693.34,max_holding_days,0.678215,54257.2
best,5,2020,123048.SZ,应急转债,300527,AA+,,20200525,20201123,202005,202011,182,109.88,130.902,-0.0742806683,-0.1741124933,-9.983183,8.38,11.19,33.53222,0.191318,0.103348717,8.796928,5425.99,max_holding_days,0.379428,11382.85
best,6,2020,128121.SZ,宏川转债,002930,AA-,,20201027,20201221,202010,202012,55,121.3,122.757,-0.244487937,-0.2208348971,2.365304,20.31,19.93,-1.871,0.012012,-0.0499689074,6.198091,321.04,switch_value_gap,0.464845,37187.58
best,7,2020,128125.SZ,华阳转债,002949,AA-,,20201228,20201231,202012,202012,3,97.0,103.864,-0.2519667738,-0.2028784213,4.908835,18.66,18.75,0.482315,0.070763,0.0159487138,5.481429,2000.3,end_of_period,0.431476,12944.27
best,8,2020,123085.SZ,万顺转2,300057,AA-,,20201228,20201231,202012,202012,3,91.56,97.22,-0.0825614458,-0.0450240157,3.753743,4.98,5.08,2.008032,0.061817,0.0159487138,4.586829,1742.65,end_of_period,0.513521,15405.62
best,9,2020,128083.SZ,新北转债,002376,AA,,20201222,20201231,202012,202012,9,102.39,106.0,-0.3910726872,-0.3923566879,-0.1284,9.08,9.42,3.744493,0.035257,-0.0006844203,3.594142,2522.26,end_of_period,0.492986,39438.85
best,10,2020,123064.SZ,万孚转债,300482,AA,,20200925,20201231,202009,202012,97,115.4,123.01,-0.7127253421,-0.7090560475,0.366929,84.76,89.21,5.250118,0.065945,0.0305160231,3.542898,1907.23,end_of_period,1.635566,49066.99
worst,1,2024,123211.SZ,阳谷转债,300121,AA-,,20241101,20241231,202411,202412,60,154.56,137.14,-0.0094497238,0.0526544251,6.210415,14.48,12.09,-16.505525,-0.112707,0.0330008726,-14.570787,-3308.92,stop_loss_switch_value_gap,0.306345,24507.6
worst,2,2024,113665.SH,汇通转债,603176,AA-,,20240419,20240625,202404,202406,67,94.432,78.433,0.4209982775,0.3406075272,-8.039075,4.18,3.68,-11.961722,-0.169424,-0.0265474392,-14.287656,-4895.51,stop_loss_switch_value_gap,0.318535,9556.05
worst,3,2024,127102.SZ,浙建转债,002761,AA+,,20241122,20241231,202411,202412,39,125.137,112.75,0.0133915531,0.3124202733,29.902872,12.62,8.78,-30.427892,-0.098988,0.0179855206,-11.697352,-3114.59,end_of_period,0.330048,26403.85
worst,4,2024,123203.SZ,明电转02,300739,AA-,,20240229,20240328,202402,202403,28,125.88,112.773,-0.029407398,0.061031572,9.043897,15.68,12.85,-18.048469,-0.104123,0.0084519594,-11.257496,-3031.08,stop_loss_value_gone,0.326443,9793.29
worst,5,2024,123225.SZ,翔丰转债,300890,AA-,,20240417,20240621,202404,202406,65,127.429,113.922,0.0788805184,0.2069574054,12.807689,32.41,25.9,-20.086393,-0.105996,-0.0108152736,-9.518073,-3068.95,stop_loss_value_gone,0.475957,14278.72
worst,6,2024,123054.SZ,思特转债,300608,AA-,,20240109,20240130,202401,202401,21,175.6,149.998,0.1092890026,0.3011240035,19.1835,15.64,11.39,-27.173913,-0.145797,-0.0540275713,-9.176943,-4291.85,stop_loss_value_gone,0.211637,6349.1
worst,7,2024,110095.SH,双良转债,600481,AA-,,20240604,20240702,202406,202407,28,95.998,85.041,0.0228752414,0.1302223226,10.734708,5.8,4.65,-19.827586,-0.114138,-0.0294632187,-8.467478,-3182.27,stop_loss_switch_value_gap,0.295651,8869.52
worst,8,2024,123216.SZ,科顺转债,300737,AA,,20240520,20240620,202405,202406,31,109.932,95.697,0.1298096148,0.4247745312,29.496492,6.49,4.48,-30.970724,-0.129489,-0.0489700447,-8.051896,-10079.17,stop_loss_switch_value_gap,0.288551,23084.08
worst,9,2024,123085.SZ,万顺转2,300057,AA-,,20240423,20240621,202404,202406,59,104.09,95.497,0.2164147541,0.1373031742,-7.911158,4.27,4.19,-1.873536,-0.082554,-0.0030852956,-7.94687,-2388.19,stop_loss_switch_value_gap,0.276922,8307.66
worst,10,2024,118003.SH,华兴转债,688001,AA,,20241210,20241226,202412,202412,16,139.362,128.078,0.0056343608,0.1645864367,15.895208,36.53,28.99,-20.640569,-0.080969,-0.0066704798,-7.429852,-2625.14,switch_value_gap,0.254421,20353.68
best,1,2024,123161.SZ,强联转债,300850,AA,,20240822,20241024,202408,202410,63,83.002,114.5,0.2608700763,0.2244284319,-3.644164,14.41,20.47,42.054129,0.379485,0.1248727647,25.461224,9431.62,switch_value_gap,0.34868,10460.41
best,2,2024,113665.SH,汇通转债,603176,AA-,,20240625,20241203,202406,202412,161,78.433,104.521,0.3406075272,0.2063065872,-13.430094,3.68,5.45,48.097826,0.332615,0.0962629549,23.635205,8929.36,switch_value_gap,0.424762,12742.87
best,3,2024,123241.SZ,欧通转债,300870,AA-,,20241217,20241224,202412,202412,7,188.65,234.386,-0.0636492,-0.0486557028,1.49935,87.5,107.0,22.285714,0.242438,0.0063753824,23.606262,9623.52,switch_value_gap,0.34651,27720.83
best,4,2024,113066.SH,平煤转债,601666,AAA,,20240102,20240227,202401,202402,56,133.949,154.463,-0.1729913957,-0.1714966049,0.149479,12.18,14.02,15.106732,0.153148,-0.0520337062,20.518171,4555.33,switch_value_gap,0.194416,5832.48
best,5,2024,123241.SZ,欧通转债,300870,AA-,,20241125,20241217,202411,202412,22,155.2,188.65,-0.0315609195,-0.0636492,-3.208828,69.6,87.5,25.718391,0.215528,0.0201419218,19.538608,7036.18,switch_value_gap,0.362563,29005.05
best,6,2024,127084.SZ,柳工转2,000528,AAA,,20240909,20240930,202409,202409,21,131.797,163.55,0.0191929025,-0.044868,-6.40609,9.44,12.5,32.415254,0.240924,0.0721307831,16.879322,6332.88,switch_value_gap,0.14741,4422.29
best,7,2024,123172.SZ,漱玉转债,301017,AA-,,20240819,20241231,202408,202412,134,86.348,111.6,0.3212923234,0.396167364,7.487504,9.77,11.95,22.313204,0.292445,0.1453272422,14.711776,7431.82,end_of_period,0.290361,8710.84
best,8,2024,127055.SZ,精装转债,002989,AA-,,20240624,20241127,202406,202411,156,103.033,126.312,0.2589897622,0.0488204668,-21.01693,15.14,22.28,47.159841,0.225937,0.0788823316,14.705467,6011.44,force_redemption,0.256886,7706.59
best,9,2024,128108.SZ,蓝帆转债,002382,AA-,,20240619,20240628,202406,202406,9,81.0,91.083,0.4769495413,0.6761802083,19.923067,4.36,4.32,-0.917431,0.124481,-0.0196493801,14.413038,3490.92,switch_value_gap,0.299389,8981.67
best,10,2024,123241.SZ,欧通转债,300870,AA-,,20241030,20241115,202410,202411,16,136.958,157.8,0.0339102972,-0.0359749613,-6.988526,57.53,71.09,23.570311,0.152178,0.0132809696,13.889703,4379.0,switch_value_gap,0.293032,23442.57
