cb_code,cb_name,entry_date,exit_date,exit_reason,pnl_amount,pnl_pct,holding_days,entry_close,theoretical,bond_floor,option_value,value_gap_amount,value_gap_pct,close_to_bond_floor,bond_gap_per_bond,option_gap_per_bond,option_share,source
128074.SZ,游族转债,20200102,20200515,stop_loss_value_gone,-12026.58,-0.150527,134,145.8,266.991,84.303,182.687,66412.45,0.8302,1.7295,0.0,121.191,1.0,option
128108.SZ,蓝帆转债,20200630,20200908,stop_loss_value_gone,-10893.96,-0.139571,70,157.4,376.323,83.425,292.898,111212.94,1.3902,1.8867,0.0,218.923,1.0,option
123011.SZ,德尔转债,20200102,20200306,stop_loss_switch_value_gap,-9039.85,-0.113066,64,126.079,274.529,87.497,187.032,94117.24,1.1765,1.4409,0.0,148.45,1.0,option
110047.SH,山鹰转债,20200102,20200519,stop_loss_value_gone,-9037.41,-0.113094,138,123.67,236.845,88.87,147.975,73110.89,0.9139,1.3916,0.0,113.175,1.0,option
123035.SZ,利德转债,20200102,20200416,stop_loss_switch_value_gap,-8587.67,-0.107616,105,129.521,195.953,90.57,105.383,40988.29,0.5124,1.4301,0.0,66.432,1.0,option
113584.SH,家悦转债,20200630,20200908,stop_loss_value_gone,-8574.33,-0.109891,70,139.58,361.03,85.629,275.401,126669.43,1.5834,1.6301,0.0,221.45,1.0,option
113605.SH,大参转债,20201113,20201225,stop_loss_value_gone,-8249.62,-0.130697,42,140.64,301.95,85.515,216.435,91624.3,1.1453,1.6446,0.0,161.31,1.0,option
113584.SH,家悦转债,20200908,20201113,stop_loss_switch_value_gap,-7802.57,-0.10997,66,124.69,278.31,86.234,192.076,98470.18,1.2309,1.446,0.0,153.62,1.0,option
128117.SZ,道恩转债,20200902,20201120,stop_loss_value_gone,-7719.45,-0.094167,79,118.25,290.282,87.611,202.671,116293.47,1.4537,1.3497,0.0,172.032,1.0,option
128083.SZ,新北转债,20200102,20200525,stop_loss_value_gone,-7714.03,-0.096615,144,120.21,203.992,87.582,116.411,55715.24,0.6964,1.3725,0.0,83.782,1.0,option
113545.SH,金能转债,20200703,20200925,stop_loss_switch_value_gap,-7368.92,-0.093786,84,126.5,184.147,85.605,98.542,36433.17,0.4554,1.4777,0.0,57.647,1.0,option
110047.SH,山鹰转债,20201116,20201225,stop_loss_value_gone,-7185.46,-0.093602,39,114.03,206.466,91.787,114.679,64797.5,0.81,1.2423,0.0,92.436,1.0,option
128108.SZ,蓝帆转债,20200908,20201225,stop_loss_value_gone,-7183.8,-0.089878,108,135.92,330.629,84.085,246.544,114488.64,1.4311,1.6165,0.0,194.709,1.0,option
123011.SZ,德尔转债,20201123,20201228,stop_loss_switch_value_gap,-7007.54,-0.092322,35,104.505,169.753,89.751,80.002,49914.84,0.6239,1.1644,0.0,65.248,1.0,option
113537.SH,文灿转债,20200102,20200525,stop_loss_value_gone,-6875.4,-0.086084,144,120.43,158.256,88.108,70.148,25116.73,0.314,1.3668,0.0,37.826,1.0,option
113530.SH,大丰转债,20200102,20200520,stop_loss_value_gone,-6703.17,-0.083924,139,113.41,155.113,87.248,67.865,29400.53,0.3675,1.2999,0.0,41.703,1.0,option
127007.SZ,湖广转债,20200102,20200630,max_holding_days,-3875.73,-0.048523,180,114.72,156.116,91.124,64.992,28852.96,0.3607,1.2589,0.0,41.396,1.0,option
128074.SZ,游族转债,20200515,20201111,max_holding_days,-3837.91,-0.056552,180,124.3,231.913,85.586,146.327,69194.85,0.8649,1.4523,0.0,107.613,1.0,option
128132.SZ,交建转债,20201026,20201225,stop_loss_value_gone,-3617.62,-0.101416,60,100.02,166.41,87.907,78.503,53045.68,0.6631,1.1378,0.0,66.39,1.0,option
127015.SZ,希望转债,20201120,20201225,stop_loss_value_gone,-3525.15,-0.12413,35,131.85,265.251,90.253,174.999,30282.13,1.0094,1.4609,0.0,133.401,1.0,option
110058.SH,永鼎转债,20200102,20200630,max_holding_days,-3478.13,-0.043554,180,107.0,154.874,85.746,69.128,35762.09,0.447,1.2479,0.0,47.874,1.0,option
110062.SH,烽火转债,20200520,20200525,stop_loss_value_gone,-3350.32,-0.116157,5,135.17,194.398,89.821,104.577,13089.37,0.4363,1.5049,0.0,59.228,1.0,option
128063.SZ,未来转债,20200630,20201228,max_holding_days,-3275.08,-0.041986,181,108.746,227.033,91.435,135.598,86941.02,1.0868,1.1893,0.0,118.287,1.0,option
128133.SZ,奇正转债,20201222,20201231,end_of_period,-3269.27,-0.043775,9,111.6,164.705,88.972,75.734,38023.45,0.4753,1.2543,0.0,53.105,1.0,option
123048.SZ,应急转债,20201123,20201230,switch_value_gap,-3221.65,-0.04243,37,130.902,212.308,89.919,122.388,49657.52,0.6207,1.4558,0.0,81.406,1.0,option
127015.SZ,希望转债,20200925,20201120,stop_loss_switch_value_gap,-3198.65,-0.110821,56,147.75,291.415,89.828,201.587,29020.29,0.9673,1.6448,0.0,143.665,1.0,option
127015.SZ,希望转债,20200902,20200908,stop_loss_value_gone,-3140.12,-0.180649,6,211.6,398.413,89.654,308.759,70428.5,0.8804,2.3602,0.0,186.813,1.0,option
128074.SZ,游族转债,20201123,20201225,stop_loss_value_gone,-2966.27,-0.109145,32,116.431,180.346,86.483,93.862,43845.44,0.5481,1.3463,0.0,63.915,1.0,option
127007.SZ,湖广转债,20200630,20201215,switch_value_gap,-2785.01,-0.073131,168,109.55,165.833,91.536,74.297,41086.44,0.5136,1.1968,0.0,56.283,1.0,option
110063.SH,鹰19转债,20200427,20200703,force_redemption,-2488.52,-0.0307,67,113.64,184.063,86.932,97.131,49507.54,0.6188,1.3072,0.0,70.423,1.0,option
123035.SZ,利德转债,20201120,20201228,stop_loss_switch_value_gap,-2397.74,-0.084262,38,123.498,207.999,92.188,115.81,20449.13,0.6816,1.3396,0.0,84.501,1.0,option
113584.SH,家悦转债,20201116,20201231,end_of_period,-2322.06,-0.054515,45,109.02,191.951,86.835,105.116,60788.71,0.7599,1.2555,0.0,82.931,1.0,option
123063.SZ,大禹转债,20201013,20201216,switch_value_gap,-2220.53,-0.07335,64,121.85,191.204,87.76,103.444,17061.18,0.5687,1.3884,0.0,69.354,1.0,option
123004.SZ,铁汉转债,20200102,20200630,max_holding_days,-2156.4,-0.051971,180,102.265,130.719,89.492,41.227,22250.87,0.2781,1.1427,0.0,28.454,1.0,option
123023.SZ,迪森转债,20201013,20201231,end_of_period,-1980.69,-0.065411,79,106.807,168.097,100.0,68.097,17161.27,0.572,1.0681,0.0,61.29,1.0,option
128134.SZ,鸿路转债,20201111,20201221,switch_value_gap,-1540.92,-0.024058,40,118.84,181.396,85.523,95.873,42037.33,0.5255,1.3896,0.0,62.556,1.0,option
128037.SZ,岩土转债,20200630,20201216,switch_value_gap,-1418.26,-0.018168,169,97.398,152.233,90.775,61.457,45019.32,0.5627,1.073,0.0,54.835,1.0,option
128063.SZ,未来转债,20200102,20200630,max_holding_days,-1416.27,-0.017726,180,110.307,236.942,89.64,147.302,91810.14,1.1476,1.2306,0.0,126.635,1.0,option
128117.SZ,道恩转债,20201120,20201231,end_of_period,-1104.14,-0.038835,41,107.502,223.08,88.399,134.681,32130.66,1.071,1.2161,0.0,115.578,1.0,option
128125.SZ,华阳转债,20200925,20201215,switch_value_gap,-1070.53,-0.079384,81,118.081,206.091,84.684,121.408,22266.63,0.7422,1.3944,0.0,88.01,1.0,option
123076.SZ,强力转债,20201218,20201231,end_of_period,-904.48,-0.03263,13,104.021,159.869,83.56,76.31,16084.27,0.5361,1.2449,0.0,55.848,1.0,option
128108.SZ,蓝帆转债,20201225,20201231,end_of_period,-771.61,-0.028072,6,124.15,276.255,85.114,191.14,36657.19,1.2219,1.4586,0.0,152.105,1.0,option
128083.SZ,新北转债,20200525,20201123,max_holding_days,-612.39,-0.021656,182,108.988,180.21,88.879,91.332,19586.13,0.6529,1.2263,0.0,71.222,1.0,option
113605.SH,大参转债,20201225,20201231,end_of_period,-445.58,-0.016183,6,122.7,253.388,85.878,167.51,31887.94,1.0629,1.4288,0.0,130.688,1.0,option
113016.SH,小康转债,20201228,20201229,switch_value_gap,-388.96,-0.014216,1,108.81,152.823,92.912,59.911,12103.56,0.4035,1.1711,0.0,44.013,1.0,option
113030.SH,东风转债,20200427,20201026,max_holding_days,-326.17,-0.009058,182,115.21,177.115,86.486,90.629,42961.83,0.537,1.3321,0.0,61.905,1.0,option
128121.SZ,宏川转债,20201120,20201231,end_of_period,-182.29,-0.012441,41,122.902,191.771,84.303,107.468,16804.08,0.5601,1.4579,0.0,68.869,1.0,option
110062.SH,烽火转债,20200525,20201123,max_holding_days,-181.25,-0.006421,182,119.9,176.971,89.859,87.112,14267.64,0.4756,1.3343,0.0,57.071,1.0,option
127021.SZ,特发转2,20201013,20201218,switch_value_gap,-153.88,-0.053776,66,114.25,176.238,93.245,82.993,16240.81,0.5414,1.2253,0.0,61.988,1.0,option
110058.SH,永鼎转债,20201231,20201231,end_of_period,-100.39,-0.003594,0,102.15,142.655,88.366,54.288,11867.89,0.3956,1.156,0.0,40.505,1.0,option
128105.SZ,长集转债,20200519,20201116,max_holding_days,-71.77,-0.005796,181,120.0,174.494,84.971,89.523,13568.96,0.4523,1.4123,0.0,54.494,1.0,option
128125.SZ,华阳转债,20200902,20200911,stop_loss_switch_value_gap,-14.54,-0.10325,9,140.558,247.361,84.467,162.894,60664.36,0.7583,1.6641,0.0,106.803,1.0,option
123011.SZ,德尔转债,20200306,20200525,stop_loss_value_gone,-10.63,-0.09456,80,112.23,204.282,88.138,116.143,65540.79,0.8193,1.2733,0.0,92.052,1.0,option
123004.SZ,铁汉转债,20200911,20201207,stop_loss_switch_value_gap,-9.18,-0.083507,87,109.698,199.705,91.875,107.83,24571.85,0.8191,1.194,0.0,90.007,1.0,option
113527.SH,维格转债,20200925,20201214,switch_value_gap,-1.89,-0.020777,80,91.04,111.713,90.491,21.222,6801.32,0.2267,1.0061,0.0,20.673,1.0,option
127018.SZ,本钢转债,20201222,20201231,end_of_period,-0.8,-0.010019,9,80.016,109.92,96.684,13.236,29874.23,0.3734,0.8276,16.668,13.236,0.4426,mixed
123071.SZ,天能转债,20201207,20201231,end_of_period,-0.38,-0.003594,24,105.0,209.025,85.106,123.919,29647.17,0.9882,1.2338,0.0,104.025,1.0,option
123063.SZ,大禹转债,20201228,20201231,end_of_period,2.58,9.4e-05,3,115.3,164.36,88.514,75.846,12755.61,0.4252,1.3026,0.0,49.06,1.0,option
128037.SZ,岩土转债,20200102,20200630,max_holding_days,67.33,0.000842,180,96.961,171.09,90.112,80.978,61082.42,0.7635,1.076,0.0,74.129,1.0,option
113549.SH,白电转债,20200525,20201123,max_holding_days,75.79,0.072298,182,104.64,140.122,87.583,52.54,10147.91,0.3383,1.1948,0.0,35.482,1.0,option
123035.SZ,利德转债,20201228,20201231,end_of_period,93.68,0.003433,3,113.5,166.232,92.509,73.723,13921.32,0.464,1.2269,0.0,52.732,1.0,option
128087.SZ,孚日转债,20200520,20201116,max_holding_days,143.84,0.009268,180,100.6,140.164,87.267,52.897,11789.96,0.393,1.1528,0.0,39.564,1.0,option
110070.SH,凌钢转债,20201228,20201231,end_of_period,191.49,0.006993,3,99.75,147.833,88.284,59.549,14424.76,0.4808,1.1299,0.0,48.083,1.0,option
127015.SZ,希望转债,20201228,20201231,end_of_period,338.35,0.01237,3,118.713,224.406,90.542,133.864,26634.68,0.8878,1.3111,0.0,105.693,1.0,option
127021.SZ,特发转2,20201228,20201231,end_of_period,400.52,0.01466,3,104.092,146.012,93.993,52.019,12073.04,0.4024,1.1074,0.0,41.92,1.0,option
128063.SZ,未来转债,20201228,20201231,end_of_period,442.65,0.016191,3,104.559,226.431,91.504,134.927,34855.35,1.1618,1.1427,0.0,121.872,1.0,option
113505.SH,杭电转债,20200525,20201123,max_holding_days,491.64,0.017374,182,103.09,141.895,90.522,51.373,11253.55,0.3751,1.1388,0.0,38.805,1.0,option
128132.SZ,交建转债,20201228,20201231,end_of_period,503.6,0.018396,3,90.188,129.227,88.473,40.753,12960.81,0.432,1.0194,0.0,39.039,1.0,option
123011.SZ,德尔转债,20200525,20201123,max_holding_days,595.14,0.021029,182,101.984,171.984,88.946,83.038,20579.99,0.686,1.1466,0.0,70.0,1.0,option
128134.SZ,鸿路转债,20201228,20201231,end_of_period,615.78,0.022506,3,113.327,158.702,85.929,72.773,11978.92,0.3993,1.3188,0.0,45.375,1.0,option
110047.SH,山鹰转债,20201225,20201231,end_of_period,744.8,0.027046,6,103.73,187.568,90.94,96.628,24229.13,0.8076,1.1406,0.0,83.838,1.0,option
128083.SZ,新北转债,20201221,20201231,end_of_period,852.41,0.030522,10,102.49,154.788,90.806,63.981,15270.93,0.509,1.1287,0.0,52.298,1.0,option
113016.SH,小康转债,20201230,20201231,end_of_period,925.82,0.033549,1,106.77,148.691,92.934,55.757,11737.85,0.3913,1.1489,0.0,41.921,1.0,option
110047.SH,山鹰转债,20200519,20201116,max_holding_days,939.76,0.032157,181,110.08,193.658,90.119,103.539,22733.28,0.7578,1.2215,0.0,83.578,1.0,option
128037.SZ,岩土转债,20201222,20201231,end_of_period,955.4,0.015989,9,95.128,136.467,92.435,44.032,34724.57,0.4341,1.0291,0.0,41.339,1.0,option
123004.SZ,铁汉转债,20201216,20201231,end_of_period,958.67,0.034738,15,95.65,154.573,92.796,61.777,18442.81,0.6148,1.0308,0.0,58.923,1.0,option
123011.SZ,德尔转债,20201228,20201231,end_of_period,990.02,0.03617,3,95.2,152.376,90.115,62.261,18010.52,0.6004,1.0564,0.0,57.176,1.0,option
128074.SZ,游族转债,20201228,20201231,end_of_period,1201.57,0.043963,3,91.245,146.021,86.83,59.191,17966.39,0.5989,1.0509,0.0,54.776,1.0,option
113043.SH,财通转债,20201229,20201231,end_of_period,1359.8,0.04986,2,112.03,157.241,88.434,68.807,12071.23,0.4024,1.2668,0.0,45.211,1.0,option
113033.SH,利群转债,20200520,20201116,max_holding_days,1525.98,0.052899,180,102.11,143.554,85.836,57.718,12143.14,0.4048,1.1896,0.0,41.444,1.0,option
123085.SZ,万顺转2,20201228,20201231,end_of_period,1585.41,0.058001,3,91.56,138.672,85.239,53.433,15405.62,0.5135,1.0742,0.0,47.112,1.0,option
123035.SZ,利德转债,20200519,20201116,max_holding_days,1598.59,0.054711,181,116.2,175.154,90.643,84.512,15210.18,0.507,1.282,0.0,58.954,1.0,option
123064.SZ,万孚转债,20200925,20201231,end_of_period,1787.98,0.062112,97,115.4,304.848,85.445,219.403,49066.99,1.6356,1.3506,0.0,189.448,1.0,option
128125.SZ,华阳转债,20201228,20201231,switch_value_gap,1827.08,0.066911,3,97.0,138.891,85.576,53.315,12944.27,0.4315,1.1335,0.0,41.891,1.0,option
128021.SZ,兄弟转债,20200525,20201123,max_holding_days,2717.37,0.096208,182,111.0,154.373,91.029,63.344,11710.74,0.3904,1.2194,0.0,43.373,1.0,option
123048.SZ,应急转债,20200525,20201123,max_holding_days,5291.24,0.187036,182,109.88,151.729,89.425,62.304,11382.85,0.3794,1.2287,0.0,41.849,1.0,option
128095.SZ,恩捷转债,20201013,20201231,end_of_period,12631.27,0.418372,79,154.55,320.916,88.451,232.466,32275.05,1.0758,1.7473,0.0,166.366,1.0,option
128095.SZ,恩捷转债,20200416,20201013,max_holding_days,22441.17,0.315177,180,117.09,198.571,86.861,111.71,55651.67,0.6956,1.348,0.0,81.481,1.0,option
127015.SZ,希望转债,20200306,20200902,max_holding_days,28702.27,0.405503,180,150.01,297.229,88.305,208.924,78467.77,0.9808,1.6988,0.0,147.219,1.0,option
110044.SH,广电转债,20200102,20200427,value_repaired,37280.29,0.467251,116,144.28,230.031,89.308,140.723,47505.82,0.5938,1.6155,0.0,85.751,1.0,option
