name,description,params_json,train_trade_count,test_trade_count
baseline_no_feedback,当前主策略，不使用已平仓期权来源盈亏反馈,"{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 0.0, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",986,191
feedback_20d_min2_scale_0p75,最近 20 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",998,190
feedback_20d_min2_scale_0p5,最近 20 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.5,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.5, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",991,199
feedback_20d_min2_scale_0p25,最近 20 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.25,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.25, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",969,247
feedback_20d_min3_scale_0p75,最近 20 天已平仓期权来源交易不少于 3 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 3.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",957,190
feedback_20d_min3_scale_0p5,最近 20 天已平仓期权来源交易不少于 3 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.5,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 3.0, ""option_source_pnl_feedback_scale"": 0.5, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",975,199
feedback_20d_min3_scale_0p25,最近 20 天已平仓期权来源交易不少于 3 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.25,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 20.0, ""option_source_pnl_feedback_min_trades"": 3.0, ""option_source_pnl_feedback_scale"": 0.25, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",974,247
feedback_40d_min2_scale_0p75,最近 40 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 40.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",974,201
feedback_40d_min2_scale_0p5,最近 40 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.5,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 40.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.5, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",975,207
feedback_40d_min2_scale_0p25,最近 40 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.25,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 40.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.25, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",963,217
feedback_40d_min3_scale_0p75,最近 40 天已平仓期权来源交易不少于 3 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 40.0, ""option_source_pnl_feedback_min_trades"": 3.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",974,201
feedback_40d_min3_scale_0p5,最近 40 天已平仓期权来源交易不少于 3 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.5,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 40.0, ""option_source_pnl_feedback_min_trades"": 3.0, ""option_source_pnl_feedback_scale"": 0.5, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",975,207
feedback_40d_min3_scale_0p25,最近 40 天已平仓期权来源交易不少于 3 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.25,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 40.0, ""option_source_pnl_feedback_min_trades"": 3.0, ""option_source_pnl_feedback_scale"": 0.25, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",956,219
feedback_60d_min2_scale_0p75,最近 60 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 60.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",986,209
feedback_60d_min2_scale_0p5,最近 60 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.5,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 60.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.5, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",966,218
feedback_60d_min2_scale_0p25,最近 60 天已平仓期权来源交易不少于 2 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.25,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 60.0, ""option_source_pnl_feedback_min_trades"": 2.0, ""option_source_pnl_feedback_scale"": 0.25, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",958,218
feedback_60d_min3_scale_0p75,最近 60 天已平仓期权来源交易不少于 3 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.75,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 60.0, ""option_source_pnl_feedback_min_trades"": 3.0, ""option_source_pnl_feedback_scale"": 0.75, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",986,209
feedback_60d_min3_scale_0p5,最近 60 天已平仓期权来源交易不少于 3 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.5,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 60.0, ""option_source_pnl_feedback_min_trades"": 3.0, ""option_source_pnl_feedback_scale"": 0.5, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",966,218
feedback_60d_min3_scale_0p25,最近 60 天已平仓期权来源交易不少于 3 笔且亏钱时，后续期权来源候选排序金额和买入金额乘以 0.25,"{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_source_pnl_feedback_enabled"": 1.0, ""option_source_pnl_feedback_lookback_days"": 60.0, ""option_source_pnl_feedback_min_trades"": 3.0, ""option_source_pnl_feedback_scale"": 0.25, ""option_source_pnl_feedback_trigger_avg_pnl_pct"": 0.0, ""option_source_pnl_feedback_trigger_sum_pnl"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",958,221
