name,description,period,start,end,position_scale_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
baseline_no_position_scale,当前主策略，不调整候选排序和买入金额,2019,20190101,20191231,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u8c03\u6574\u5019\u9009\u6392\u5e8f\u548c\u4e70\u5165\u91d1\u989d"", ""mode"": ""none"", ""name"": ""baseline_no_position_scale""}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.379211,0.171845,-0.107991,0.5854,164,244,0.144847
baseline_no_position_scale,当前主策略，不调整候选排序和买入金额,2020,20200101,20201231,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u8c03\u6574\u5019\u9009\u6392\u5e8f\u548c\u4e70\u5165\u91d1\u989d"", ""mode"": ""none"", ""name"": ""baseline_no_position_scale""}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.090593,-0.19476,-0.179066,0.2933,75,243,-0.239526
baseline_no_position_scale,当前主策略，不调整候选排序和买入金额,2021,20210101,20211231,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u8c03\u6574\u5019\u9009\u6392\u5e8f\u548c\u4e70\u5165\u91d1\u989d"", ""mode"": ""none"", ""name"": ""baseline_no_position_scale""}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.06207,-0.059628,-0.092588,0.5583,120,243,-0.082775
baseline_no_position_scale,当前主策略，不调整候选排序和买入金额,2022,20220101,20221231,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u8c03\u6574\u5019\u9009\u6392\u5e8f\u548c\u4e70\u5165\u91d1\u989d"", ""mode"": ""none"", ""name"": ""baseline_no_position_scale""}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.154715,0.007306,-0.182667,0.3235,170,242,-0.038361
baseline_no_position_scale,当前主策略，不调整候选排序和买入金额,2023,20230101,20231231,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u8c03\u6574\u5019\u9009\u6392\u5e8f\u548c\u4e70\u5165\u91d1\u989d"", ""mode"": ""none"", ""name"": ""baseline_no_position_scale""}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.060919,-0.033299,-0.143572,0.354,161,242,-0.069192
baseline_no_position_scale,当前主策略，不调整候选排序和买入金额,2024,20240101,20241231,"{""description"": ""\u5f53\u524d\u4e3b\u7b56\u7565\uff0c\u4e0d\u8c03\u6574\u5019\u9009\u6392\u5e8f\u548c\u4e70\u5165\u91d1\u989d"", ""mode"": ""none"", ""name"": ""baseline_no_position_scale""}","{""candidate_position_scale_enabled"": 0.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.010761,-0.006403,-0.176414,0.4542,251,242,-0.050506
ratio_1p5_scale_0p75,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.75,2019,20190101,20191231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.317786,0.11042,-0.109003,0.6275,153,244,0.083169
ratio_1p5_scale_0p75,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.75,2020,20200101,20201231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.125191,-0.229358,-0.200393,0.3261,92,243,-0.279456
ratio_1p5_scale_0p75,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.75,2021,20210101,20211231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.10644,-0.015258,-0.084282,0.5973,149,243,-0.036328
ratio_1p5_scale_0p75,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.75,2022,20220101,20221231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.128084,0.033937,-0.168478,0.3559,177,242,-0.008182
ratio_1p5_scale_0p75,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.75,2023,20230101,20231231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.064406,-0.036786,-0.131059,0.3669,169,242,-0.069551
ratio_1p5_scale_0p75,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.75,2024,20240101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.009092,-0.004733,-0.164021,0.4223,251,242,-0.045738
ratio_1p5_scale_0p5,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.5,2019,20190101,20191231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.309911,0.102545,-0.125994,0.6184,152,244,0.071046
ratio_1p5_scale_0p5,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.5,2020,20200101,20201231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.093605,-0.197772,-0.169509,0.3951,81,243,-0.240149
ratio_1p5_scale_0p5,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.5,2021,20210101,20211231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.112442,-0.009256,-0.079433,0.6402,164,243,-0.029114
ratio_1p5_scale_0p5,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.5,2022,20220101,20221231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.062073,0.099948,-0.131885,0.383,188,242,0.066977
ratio_1p5_scale_0p5,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.5,2023,20230101,20231231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.052366,-0.024746,-0.117135,0.3901,182,242,-0.05403
ratio_1p5_scale_0p5,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.5,2024,20240101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.020887,-0.016529,-0.170071,0.4385,260,242,-0.059047
ratio_1p5_scale_0p25,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.25,2019,20190101,20191231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p25"", ""position_scale"": 0.25, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.235715,0.028349,-0.144891,0.6144,153,244,-0.007874
ratio_1p5_scale_0p25,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.25,2020,20200101,20201231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p25"", ""position_scale"": 0.25, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.070517,-0.174684,-0.151327,0.3696,92,243,-0.212516
ratio_1p5_scale_0p25,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.25,2021,20210101,20211231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p25"", ""position_scale"": 0.25, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.123321,0.001623,-0.079121,0.6919,172,243,-0.018157
ratio_1p5_scale_0p25,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.25,2022,20220101,20221231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p25"", ""position_scale"": 0.25, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.021893,0.140128,-0.111067,0.4466,206,242,0.112361
ratio_1p5_scale_0p25,期权型低估且价格/债底 > 1.5 时，买入金额和排序金额乘以 0.25,2023,20230101,20231231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_scale_0p25"", ""position_scale"": 0.25, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.035913,-0.008293,-0.102785,0.4564,195,242,-0.033989
