name,description,period,start,end,haircut_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
ratio_1p5_weight_0p75,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.75,2024,20240101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.021514,-0.017156,-0.170071,0.4363,259,242,-0.059674
ratio_1p5_weight_0p5,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.5,2019,20190101,20191231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.255564,0.048199,-0.139326,0.593,172,244,0.013367
ratio_1p5_weight_0p5,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.5,2020,20200101,20201231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.054916,-0.159083,-0.151209,0.4253,87,243,-0.196885
ratio_1p5_weight_0p5,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.5,2021,20210101,20211231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.13893,0.017231,-0.079121,0.6936,173,243,-0.002549
ratio_1p5_weight_0p5,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.5,2022,20220101,20221231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.033809,0.128212,-0.113149,0.4444,207,242,0.099925
ratio_1p5_weight_0p5,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.5,2023,20230101,20231231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.045028,-0.017409,-0.111103,0.4564,195,242,-0.045185
ratio_1p5_weight_0p5,期权型低估且价格/债底 > 1.5 时，期权价值乘以 0.5,2024,20240101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio"", ""name"": ""ratio_1p5_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.01298,-0.008622,-0.166735,0.4463,242,242,-0.050306
moneyness_1p6_weight_0p75,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.75,2019,20190101,20191231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p75"", ""option_weight"": 0.75}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.292087,0.084722,-0.130275,0.5882,153,244,0.052153
moneyness_1p6_weight_0p75,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.75,2020,20200101,20201231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p75"", ""option_weight"": 0.75}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.092429,-0.196596,-0.175356,0.3619,105,243,-0.240435
moneyness_1p6_weight_0p75,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.75,2021,20210101,20211231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p75"", ""option_weight"": 0.75}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.071935,-0.049763,-0.086759,0.5847,118,243,-0.071453
moneyness_1p6_weight_0p75,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.75,2022,20220101,20221231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p75"", ""option_weight"": 0.75}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.113473,0.048548,-0.133684,0.3744,211,242,0.015127
moneyness_1p6_weight_0p75,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.75,2023,20230101,20231231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p75"", ""option_weight"": 0.75}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.05953,-0.031911,-0.133164,0.3756,197,242,-0.065202
moneyness_1p6_weight_0p75,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.75,2024,20240101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p75"", ""option_weight"": 0.75}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.010709,-0.006351,-0.17394,0.4643,252,242,-0.049836
moneyness_1p6_weight_0p5,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.5,2019,20190101,20191231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p5"", ""option_weight"": 0.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.290251,0.082886,-0.141615,0.62,150,244,0.047482
moneyness_1p6_weight_0p5,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.5,2020,20200101,20201231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p5"", ""option_weight"": 0.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.045441,-0.149608,-0.128892,0.427,89,243,-0.181831
moneyness_1p6_weight_0p5,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.5,2021,20210101,20211231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p5"", ""option_weight"": 0.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.166282,0.044583,-0.102725,0.6146,192,243,0.018902
moneyness_1p6_weight_0p5,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.5,2022,20220101,20221231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p5"", ""option_weight"": 0.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.07051,0.091511,-0.114904,0.4708,257,242,0.062785
moneyness_1p6_weight_0p5,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.5,2023,20230101,20231231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p5"", ""option_weight"": 0.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.032425,-0.004805,-0.108941,0.4644,267,242,-0.03204
moneyness_1p6_weight_0p5,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.5,2024,20240101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p5"", ""option_weight"": 0.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.010242,-0.005883,-0.173552,0.4528,254,242,-0.049271
ratio_1p5_or_mny_1p6_weight_0p75,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，期权价值乘以 0.75,2019,20190101,20191231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.23913,0.031765,-0.135867,0.5974,154,244,-0.002202
ratio_1p5_or_mny_1p6_weight_0p75,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，期权价值乘以 0.75,2020,20200101,20201231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.081013,-0.18518,-0.164672,0.3558,104,243,-0.226348
ratio_1p5_or_mny_1p6_weight_0p75,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，期权价值乘以 0.75,2021,20210101,20211231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.106889,-0.01481,-0.086759,0.6307,176,243,-0.0365
